protocol_version,model,model_label,seed,prequential_nll_bits,prequential_accuracy_pct,test_nll_bits,test_accuracy_pct,test_macro_f1_pct,test_brier,test_dedup_nll_bits,test_dedup_accuracy_pct,test_dedup_macro_f1_pct,test_dedup_brier,insertion_rate_pct,active_atoms,retained_examples,allocated_bytes,model_mib,run_seconds,train_examples,test_examples,test_dedup_examples,excluded_duplicate_test_examples,dimension,max_features,hash_seed,capacity,top_k,key_nnz,key_scale,learning_rate_key,learning_rate_value,linear_learning_rate,knn_prior_mass,byte_budget,shared_birth_seed,shared_birth_count,fixed_key_support,official_test_previously_exposed,hyperparameters_provisional
banking77-v2-posthoc,shared_learned,Shared-birth learned-key memory,0,4.8169741093104825,52.16435069479156,4.008203407022522,66.78571428571428,64.69591471363232,0.8400372810565032,4.0098436079619235,66.64484451718494,64.52773978954545,0.8400865284979051,40.537838648405476,4055,4055,134204896,127.98776245117188,126.53040655096993,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,shared_frozen,Shared-birth frozen-key memory,0,5.394190214279223,51.364590622813154,5.038706351132237,66.3961038961039,64.7381498145229,0.9413010447249784,5.040815797887768,66.25204582651392,64.5323906368079,0.9413833145619219,40.537838648405476,4055,4055,134204896,127.98776245117188,84.99374295200687,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,natural_learned,Natural-insertion learned-key memory,0,4.893436664565664,50.694791562531236,4.137012668848199,61.62337662337662,58.7241660205524,0.8583723033016378,4.1379778523375625,61.50572831423895,58.568950336897906,0.8583996710332443,17.884634609617116,1789,1789,134204896,127.98776245117188,76.20180483791046,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,natural_frozen,Natural-insertion frozen-key memory,0,5.4216148689488906,53.314005798260524,5.149927848395512,65.32467532467533,63.3525485792047,0.9494445221184136,5.15224152699572,65.17184942716857,63.20477822836281,0.9495381631749742,32.46026192142357,3247,3247,134204896,127.98776245117188,75.28144523396622,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,knn,Exact same-energy kNN,0,2.215884318338105,69.71908427471757,1.624814137635883,79.0909090909091,79.2092292422689,0.4240207049944257,1.6322366303905407,78.91980360065467,79.04035522310522,0.4259607535657365,nan,0,10003,82045222,78.24442100524902,35.48100071505178,10003,3080,3055,25,8192,256,0,10003,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,not_applicable,true,true
banking77-v2-posthoc,linear,Online linear,0,1.1823493767211077,79.54613615915225,0.6276853873587714,88.57142857142857,88.69830086759426,0.17558315018633647,0.6321613573127471,88.47790507364975,88.59670427872224,0.17690157739425547,nan,0,0,2523444,2.406543731689453,3.0726288279984146,10003,3080,3055,25,8192,256,0,0,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,not_applicable,true,true
banking77-v2-posthoc,shared_learned,Shared-birth learned-key memory,1,4.8375070972604135,51.134659602119356,4.033937957861383,64.35064935064935,62.14577248940388,0.8386991062044323,4.0350281589101735,64.28805237315875,62.03454396095608,0.8387110945343386,40.537838648405476,4055,4055,134204896,127.98776245117188,110.3442727739457,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,shared_frozen,Shared-birth frozen-key memory,1,5.402674004317364,49.21523542937119,5.039675773423726,66.2987012987013,64.6331693011231,0.9416862758916694,5.0416837853844765,66.15384615384615,64.43620644949704,0.9417583656193972,40.537838648405476,4055,4055,134204896,127.98776245117188,83.57010702195112,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,natural_learned,Natural-insertion learned-key memory,1,4.877035956479961,49.2852144356693,4.1285628988209355,58.96103896103896,54.83390907200659,0.853828288256735,4.128963531405779,58.95253682487726,54.81196740317704,0.8538238704984981,17.27481755473358,1728,1728,134204896,127.98776245117188,69.24050767801236,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,natural_frozen,Natural-insertion frozen-key memory,1,5.403105749422182,51.28461461561532,5.11558727734624,66.85064935064935,65.18723798614064,0.948262482513855,5.1175891282780315,66.71031096563011,65.07702158157481,0.9483372506650497,32.34029791062681,3235,3235,134204896,127.98776245117188,73.5255750779761,10003,3080,3055,25,8192,256,0,4055,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,true,true,true
banking77-v2-posthoc,knn,Exact same-energy kNN,1,2.2014267026171312,69.75907227831651,1.6243608702921337,79.12337662337663,79.24201598837249,0.4238704227924032,1.631742329344972,78.95253682487726,79.07338955289546,0.4257957511836032,nan,0,10003,82045222,78.24442100524902,35.21968361304607,10003,3080,3055,25,8192,256,0,10003,16,256,8.0,0.2,0.5,0.03,1.0,134217728,1729,4055,not_applicable,true,true
