protocol_version,experiment,stage,key_mode,training_decoder,eval_decoder,training_prior,eval_prior,seed,prequential_nll_bits,prequential_accuracy_pct,eval_nll_bits,eval_accuracy_pct,eval_macro_f1_pct,eval_brier,eval_ece_15,weighted_target_purity,target_retrieval_mass,energy_margin,recall_at_1,recall_at_4,recall_at_16,mrr,active_atoms,allocated_bytes,run_seconds,train_examples,eval_examples,dimension,max_features,hash_seed,capacity,top_k,key_nnz,key_scale,prior_mass,learning_rate_key,fixed_key_support,birth_seed,birth_count,validation_split_version,validation_split_hash,official_test_previously_exposed
banking77-mixture-v1-posthoc,A,official_test,frozen,legacy_gated_logit,categorical_mixture,empirical,uniform,1,nan,nan,2.0474254130489133,72.82467532467533,72.56895693381684,0.5363382187163965,0.35416589070159893,0.4252348359130198,0.3348578027933352,0.21412291844169815,0.6162337662337662,0.8623376623376623,0.9594155844155844,0.7335690679612206,4055,134204896,0.0,10003,3080,8192,256,0,4055,16,256,8.0,1.0,0.2,true,1729,4055,banking77-mixture-val-v1,ebfb17faadb9f66177159020d8584acd5978b07758d153ac5493e65147a7fbb0,true
banking77-mixture-v1-posthoc,A,official_test,frozen,legacy_gated_logit,categorical_mixture,empirical,empirical,1,nan,nan,2.05400445791068,72.82467532467533,72.57025165743653,0.5364052650555,0.35413210678652124,0.4252348359130198,0.3348578027933352,0.21412291844169815,0.6162337662337662,0.8623376623376623,0.9594155844155844,0.7335690679612206,4055,134204896,0.0,10003,3080,8192,256,0,4055,16,256,8.0,1.0,0.2,true,1729,4055,banking77-mixture-val-v1,ebfb17faadb9f66177159020d8584acd5978b07758d153ac5493e65147a7fbb0,true
banking77-mixture-v1-posthoc,A,official_test,learned,legacy_gated_logit,legacy_gated_logit,empirical,empirical,2,4.835209812820661,51.67449765070479,4.01741401889493,65.06493506493507,62.53359024598952,0.8398574643562754,nan,nan,nan,nan,nan,nan,nan,nan,4055,134204896,120.46173463296145,10003,3080,8192,256,0,4055,16,256,8.0,1.0,0.2,true,1729,4055,banking77-mixture-val-v1,ebfb17faadb9f66177159020d8584acd5978b07758d153ac5493e65147a7fbb0,true
banking77-mixture-v1-posthoc,A,official_test,learned,legacy_gated_logit,categorical_mixture,empirical,uniform,2,nan,nan,1.7097096528020086,74.28571428571429,73.43845820798568,0.45868431488687006,0.2727349057261433,0.5052274112112738,0.42150045398792085,0.45488721511580726,0.6831168831168831,0.8655844155844156,0.9646103896103896,0.770928673405946,4055,134204896,0.0,10003,3080,8192,256,0,4055,16,256,8.0,1.0,0.2,true,1729,4055,banking77-mixture-val-v1,ebfb17faadb9f66177159020d8584acd5978b07758d153ac5493e65147a7fbb0,true
banking77-mixture-v1-posthoc,A,official_test,learned,legacy_gated_logit,categorical_mixture,empirical,empirical,2,nan,nan,1.7144525539578894,74.22077922077922,73.37200771366635,0.4587956087031801,0.272061429262258,0.5052274112112738,0.42150045398792085,0.45488721511580726,0.6831168831168831,0.8655844155844156,0.9646103896103896,0.770928673405946,4055,134204896,0.0,10003,3080,8192,256,0,4055,16,256,8.0,1.0,0.2,true,1729,4055,banking77-mixture-val-v1,ebfb17faadb9f66177159020d8584acd5978b07758d153ac5493e65147a7fbb0,true
banking77-mixture-v1-posthoc,A,official_test,frozen,legacy_gated_logit,legacy_gated_logit,empirical,empirical,2,5.381486182716622,50.52484254723583,5.018735898044085,66.5909090909091,65.06805830666724,0.9399933654379535,nan,nan,nan,nan,nan,nan,nan,nan,4055,134204896,90.83307343104389,10003,3080,8192,256,0,4055,16,256,8.0,1.0,0.2,true,1729,4055,banking77-mixture-val-v1,ebfb17faadb9f66177159020d8584acd5978b07758d153ac5493e65147a7fbb0,true
banking77-mixture-v1-posthoc,A,official_test,frozen,legacy_gated_logit,categorical_mixture,empirical,uniform,2,nan,nan,2.047917686067072,72.82467532467533,72.57284514941766,0.536442582607995,0.35416088762705206,0.4251697077715535,0.33480528998974857,0.21412291890614993,0.615909090909091,0.8623376623376623,0.9594155844155844,0.7334628095076593,4055,134204896,0.0,10003,3080,8192,256,0,4055,16,256,8.0,1.0,0.2,true,1729,4055,banking77-mixture-val-v1,ebfb17faadb9f66177159020d8584acd5978b07758d153ac5493e65147a7fbb0,true
banking77-mixture-v1-posthoc,A,official_test,frozen,legacy_gated_logit,categorical_mixture,empirical,empirical,2,nan,nan,2.0544988460037605,72.82467532467533,72.57413987303737,0.5365095316299371,0.3541270623685091,0.4251697077715535,0.33480528998974857,0.21412291890614993,0.615909090909091,0.8623376623376623,0.9594155844155844,0.7334628095076593,4055,134204896,0.0,10003,3080,8192,256,0,4055,16,256,8.0,1.0,0.2,true,1729,4055,banking77-mixture-val-v1,ebfb17faadb9f66177159020d8584acd5978b07758d153ac5493e65147a7fbb0,true
banking77-mixture-v1-posthoc,A,official_test,learned,legacy_gated_logit,legacy_gated_logit,empirical,empirical,3,4.8453533719926325,51.41457562731181,4.040693948220851,65.68181818181819,63.52940429390487,0.841976780734666,nan,nan,nan,nan,nan,nan,nan,nan,4055,134204896,122.98652417794801,10003,3080,8192,256,0,4055,16,256,8.0,1.0,0.2,true,1729,4055,banking77-mixture-val-v1,ebfb17faadb9f66177159020d8584acd5978b07758d153ac5493e65147a7fbb0,true
banking77-mixture-v1-posthoc,A,official_test,learned,legacy_gated_logit,categorical_mixture,empirical,uniform,3,nan,nan,1.7225753035398204,73.83116883116884,73.01863518136135,0.4568639347952633,0.26446900802918455,0.509036371454006,0.4238889678871235,0.40869649919596585,0.6558441558441559,0.8711038961038962,0.9607142857142857,0.7595449607905708,4055,134204896,0.0,10003,3080,8192,256,0,4055,16,256,8.0,1.0,0.2,true,1729,4055,banking77-mixture-val-v1,ebfb17faadb9f66177159020d8584acd5978b07758d153ac5493e65147a7fbb0,true
banking77-mixture-v1-posthoc,A,official_test,learned,legacy_gated_logit,categorical_mixture,empirical,empirical,3,nan,nan,1.7288697519863208,73.7987012987013,72.98296035161131,0.4569814865465288,0.2640357177583622,0.509036371454006,0.4238889678871235,0.40869649919596585,0.6558441558441559,0.8711038961038962,0.9607142857142857,0.7595449607905708,4055,134204896,0.0,10003,3080,8192,256,0,4055,16,256,8.0,1.0,0.2,true,1729,4055,banking77-mixture-val-v1,ebfb17faadb9f66177159020d8584acd5978b07758d153ac5493e65147a7fbb0,true
banking77-mixture-v1-posthoc,A,official_test,frozen,legacy_gated_logit,legacy_gated_logit,empirical,empirical,3,5.392422504305367,50.52484254723583,5.0306199362828945,66.2987012987013,64.70426892570484,0.9407382883421787,nan,nan,nan,nan,nan,nan,nan,nan,4055,134204896,88.9776629259577,10003,3080,8192,256,0,4055,16,256,8.0,1.0,0.2,true,1729,4055,banking77-mixture-val-v1,ebfb17faadb9f66177159020d8584acd5978b07758d153ac5493e65147a7fbb0,true
banking77-mixture-v1-posthoc,A,official_test,frozen,legacy_gated_logit,categorical_mixture,empirical,uniform,3,nan,nan,2.0477553087861353,72.79220779220779,72.53448331081204,0.5363829344450557,0.35385585704020095,0.4252040811811937,0.3348324935314814,0.2141229188287413,0.615909090909091,0.8623376623376623,0.9594155844155844,0.7333930882909413,4055,134204896,0.0,10003,3080,8192,256,0,4055,16,256,8.0,1.0,0.2,true,1729,4055,banking77-mixture-val-v1,ebfb17faadb9f66177159020d8584acd5978b07758d153ac5493e65147a7fbb0,true
banking77-mixture-v1-posthoc,A,official_test,frozen,legacy_gated_logit,categorical_mixture,empirical,empirical,3,nan,nan,2.054336877354221,72.79220779220779,72.53577803443176,0.5364498833460467,0.3538221331966388,0.4252040811811937,0.3348324935314814,0.2141229188287413,0.615909090909091,0.8623376623376623,0.9594155844155844,0.7333930882909413,4055,134204896,0.0,10003,3080,8192,256,0,4055,16,256,8.0,1.0,0.2,true,1729,4055,banking77-mixture-val-v1,ebfb17faadb9f66177159020d8584acd5978b07758d153ac5493e65147a7fbb0,true
